クエスト名,アイテム1,アイテム2,アイテム3,アイテム4,アイテム5,アイテム6,アイテム7,アイテム8,アイテム9,アイテム10,アイテム11,アイテム12
弓の修練場 超級,証,塵,種,羽根,蹄鉄,涙石,弓輝,弓魔,弓秘,弓ピ,弓モ,
弓の修練場 上級,証,塵,種,羽根,蹄鉄,涙石,弓輝,弓魔,弓秘,弓ピ,弓モ,
弓の修練場 中級,証,骨,牙,塵,種,羽根,蹄鉄,弓輝,弓魔,弓ピ,弓モ,
弓の修練場 初級,証,骨,牙,塵,蹄鉄,弓輝,弓ピ,弓モ,,,,
槍の修練場 超級,証,塵,種,羽根,ホム,幼角,槍輝,槍魔,槍秘,槍ピ,槍モ,
槍の修練場 上級,証,塵,種,羽根,ホム,幼角,槍輝,槍魔,槍秘,槍ピ,槍モ,
槍の修練場 中級,証,骨,塵,種,ホム,槍輝,槍魔,槍ピ,槍モ,,,
槍の修練場 初級,証,骨,塵,ホム,槍輝,槍ピ,槍モ,,,,,
狂の修練場 超級,証,塵,八連,爪,狂輝,狂魔,狂秘,狂ピ,狂モ,,,
狂の修練場 上級,証,塵,八連,爪,狂輝,狂魔,狂秘,狂ピ,狂モ,,,
狂の修練場 中級,証,塵,八連,爪,狂輝,狂魔,狂ピ,狂モ,,,,
狂の修練場 初級,証,塵,八連,狂輝,狂ピ,狂モ,,,,,,
騎の修練場 超級,牙,塵,蹄鉄,逆鱗,騎輝,騎魔,騎秘,騎ピ,騎モ,,,
騎の修練場 上級,牙,塵,蹄鉄,逆鱗,騎輝,騎魔,騎秘,騎ピ,騎モ,,,
騎の修練場 中級,牙,塵,蹄鉄,騎輝,騎魔,騎ピ,騎モ,,,,,
騎の修練場 初級,牙,塵,蹄鉄,騎輝,騎ピ,騎モ,,,,,,
術の修練場 超級,塵,蛇玉,頁,心臓,術輝,術魔,術秘,術ピ,術モ,,,
術の修練場 上級,塵,蛇玉,頁,心臓,術輝,術魔,術秘,術ピ,術モ,,,
術の修練場 中級,塵,蛇玉,頁,術輝,術魔,術ピ,術モ,,,,,
術の修練場 初級,塵,蛇玉,頁,術輝,術魔,術ピ,術モ,,,,,
殺の修練場 超級,牙,塵,種,ランタン,歯車,脂,殺輝,殺魔,殺秘,殺ピ,殺モ,
殺の修練場 上級,牙,塵,種,ランタン,歯車,脂,殺輝,殺魔,殺秘,殺ピ,殺モ,
殺の修練場 中級,牙,塵,種,ランタン,歯車,殺輝,殺魔,殺ピ,殺モ,,,
殺の修練場 初級,牙,塵,ランタン,歯車,殺輝,殺ピ,殺モ,,,,,
剣の修練場 超級,証,塵,種,羽根,歯車,貝殻,精霊根,剣輝,剣魔,剣秘,剣ピ,剣モ
剣の修練場 上級,証,塵,種,羽根,歯車,貝殻,精霊根,剣輝,剣魔,剣秘,剣ピ,剣モ
剣の修練場 中級,証,塵,種,歯車,貝殻,剣輝,剣魔,剣ピ,剣モ,,,
剣の修練場 初級,証,骨,牙,塵,歯車,貝殻,剣輝,剣ピ,剣モ,,,
